	lexeme	ai1P	ai1S	ai2P	ai2S	ai3P	ai3S	fi1P	fi1S	fi2P	fi2S	fi3P	fi3S	ii1P	ii1S	ii2P	ii2S	ii3P	ii3S	inf	is1P	is1S	is2P	is2S	is3P	is3S	pI1P	pI2P	pI2S	pP	pc1P	pc1S	pc2P	pc2S	pc3P	pc3S	pi1P	pi1S	pi2P	pi2S	pi3P	pi3S	ppFP	ppFS	ppMP	ppMS	ps1P	ps1S	ps2P	ps2S	ps3P	ps3S	freqLexeme
3181	hanter					4.0	13.0	3.0	45.0	2.0	2.0	35.0	141.0		5.0		9.0	27.0	133.0	833.0								8.0	12.0	27.0		6.0	1.0	2.0	7.0	36.0	1.0	20.0	31.0	53.0	270.0	912.0	37.0	546.0	98.0	839.0							4158.0
3182	happer						1.0					2.0						1.0		53.0									1.0	1.0						1.0			1.0	3.0	6.0	17.0	2.0	39.0	16.0	70.0							214.0
3183	haranguer						1.0									1.0	1.0			16.0									1.0										1.0	2.0	1.0	3.0		1.0	1.0	3.0							32.0
3184	harasser													1.0				1.0		5.0										1.0										1.0	4.0	2.0		3.0	6.0	12.0							36.0
3185	harceler		1.0					6.0	24.0	2.0	3.0	9.0	24.0	1.0	47.0	59.0	42.0	58.0	380.0	1654.0							3.0	60.0	44.0	54.0		3.0				9.0	4.0	126.0	241.0	221.0	182.0	824.0	30.0	377.0	121.0	702.0				2.0		2.0	5315.0
3186	harder																			68.0									1.0												1.0												70.0
3187	harmoniser									1.0			2.0						9.0	73.0							1.0	1.0	2.0	1.0						3.0	1.0	1.0	2.0	2.0	9.0	27.0			2.0	7.0							144.0
3188	harnacher						1.0													14.0								9.0	4.0										1.0	1.0	1.0	2.0	1.0	3.0	9.0	11.0							57.0
3189	harper																			2667.0							1.0												1.0														2669.0
3190	harponner		2.0				1.0						2.0				1.0	1.0	3.0	86.0								2.0	1.0	1.0				1.0				5.0	4.0	5.0		17.0	1.0	14.0	4.0	38.0							189.0
3191	hasarder						2.0		2.0				1.0						1.0	27.0								3.0		1.0		8.0				1.0		6.0		1.0	3.0	7.0		2.0	1.0	3.0							69.0
3192	hausser		2.0			1.0	4.0		3.0		1.0		5.0		1.0		1.0	2.0	2.0	133.0							2.0	28.0	55.0	12.0			1.0	1.0		1.0	2.0	11.0	6.0	32.0	10.0	78.0		2.0	2.0	80.0							478.0
3193	haver		4.0				29.0													14.0								9.0	213.0	1.0							5.0	8.0		2.0	2.0	2315.0											2602.0
3194	haïr		152.0		34.0	1.0	64.0	5.0	49.0	16.0	29.0	25.0	56.0	5.0	278.0	74.0	120.0	109.0	365.0	1885.0						1.0	11.0	64.0	211.0	58.0	1.0	42.0	6.0	16.0	13.0	27.0	67.0	6277.0	312.0	854.0	609.0	1831.0	3.0	77.0	47.0	296.0		21.0		46.0		75.0	14232.0
3195	helléniser																																													1.0							1.0
3196	hennir											1.0	1.0					2.0	1.0	25.0									6.0	4.0										3.0	16.0	71.0		21.0		9.0				1.0			161.0
3197	herbager																												1.0																								1.0
3198	herber				2.0		4.0													3.0																				1.0		18.0								3.0			31.0
3199	herboriser																			1.0																																	1.0
3200	hercher																			2.0																																	2.0
3201	herscher																			1.0																																	1.0
3202	herser																		1.0	3.0																																	4.0
3203	heurter		1.0			7.0	31.0	3.0	2.0	4.0	3.0	5.0	14.0	3.0	6.0	6.0	1.0	10.0	36.0	591.0								8.0	18.0	71.0		4.0	2.0	1.0		12.0	20.0	55.0	20.0	28.0	117.0	316.0	13.0	189.0	84.0	1681.0					1.0		3363.0
3204	hiberner							1.0				2.0	1.0		1.0		2.0	6.0	12.0	87.0									4.0	2.0						1.0	1.0	2.0	4.0	6.0	41.0	45.0				42.0							260.0
3205	hisser	1.0	2.0			2.0	12.0	8.0	9.0			2.0	7.0	1.0	4.0	1.0	2.0	3.0	11.0	349.0							25.0	363.0	218.0	15.0						4.0	2.0	21.0	8.0	16.0	19.0	108.0	5.0	29.0	15.0	164.0							1426.0
3206	historier				1.0		29.0																						1.0									1.0		9.0		19.0											60.0
3207	hiverner							1.0	2.0					1.0						6.0									1.0									2.0			2.0	1.0		3.0		3.0							22.0
3208	hiérarchiser												1.0							6.0									1.0														1.0		2.0	4.0							15.0
3209	hocher						10.0		4.0	2.0	2.0	1.0	5.0		2.0	1.0	2.0	2.0	14.0	127.0							1.0	71.0	71.0	28.0		2.0			1.0		1.0	25.0	21.0	22.0	10.0	65.0		2.0		69.0							561.0
3210	homogénéiser																			2.0										1.0													1.0			3.0							7.0
3211	homologuer																			11.0							1.0																1.0	2.0	4.0	18.0							37.0
3212	homosexualiser																			3.0																						1.0				1.0							5.0
3213	hongrer																																																			1.0	1.0
3214	honnir																			3.0																		2.0		1.0	2.0	2.0	1.0	6.0	2.0	13.0							32.0
3215	honorer						14.0	37.0	110.0	37.0	35.0	28.0	84.0	4.0	9.0	21.0	4.0	20.0	31.0	2460.0							49.0	86.0	108.0	56.0		13.0	6.0	6.0	5.0	17.0	159.0	216.0	147.0	102.0	121.0	496.0	40.0	523.0	350.0	1760.0							7154.0
3216	hoqueter																	1.0	3.0	7.0									3.0	2.0												7.0				1.0							24.0
3217	hormoner																																								1.0	4.0								1.0			6.0
3218	horodater																																								2.0	2.0	10.0	6.0	4.0	16.0							40.0
3219	horrifier					1.0						1.0							6.0	9.0									1.0	2.0					1.0	3.0		20.0		1.0		13.0	13.0	125.0	57.0	190.0							443.0
3220	horripiler																	2.0	3.0	2.0									2.0	2.0					1.0	1.0		27.0		2.0	6.0	14.0		3.0		2.0							67.0
3221	hospitaliser						1.0					1.0	1.0							259.0							1.0	2.0	3.0	1.0		1.0				1.0		7.0	1.0	1.0	3.0	24.0	23.0	312.0	94.0	463.0							1199.0
3222	hotter						24.0													13.0							1.0	1.0																									39.0
3223	houblonner																																											3.0									3.0
3224	houer		2.0				70.0								2.0		1.0																									1.0											76.0
3225	houpper						9.0																																														9.0
3226	houspiller																		2.0	31.0									1.0	1.0								4.0	4.0	3.0	2.0	9.0				12.0							69.0
3227	housser																																									2.0								1.0			3.0
3228	houssiner																												1.0																								1.0
3229	huer						292.0					5.0	1.0		3.0		2.0	5.0	6.0	302.0							2.0	21.0	141.0	6.0							1.0	2.0	9.0	2.0	22.0	80.0	27.0	18.0	9.0	54.0							1010.0
3230	huiler						1.0		2.0	1.0	1.0		1.0		1.0	1.0	1.0		2.0	83.0							1.0	14.0	5.0	1.0						1.0	3.0	5.0	5.0	4.0	2.0	47.0	8.0	14.0	9.0	51.0							264.0
3231	hululer						2.0						4.0					1.0	3.0	9.0								6.0	1.0	4.0					1.0			1.0	1.0		2.0	15.0				1.0							51.0
3232	humaniser												2.0						1.0	56.0								4.0	3.0	1.0							1.0	1.0	2.0	3.0	3.0	13.0	2.0	4.0	1.0	7.0							104.0
3233	humecter						1.0				1.0	1.0	2.0							20.0							1.0	8.0	9.0	1.0								3.0	1.0	4.0		3.0		4.0	2.0	4.0							65.0
3234	humer		3.0		2.0		42.0	1.0	2.0				2.0	1.0	10.0				4.0	50.0								14.0	6.0	10.0							2.0	15.0	4.0	5.0	2.0	21.0		1.0		11.0							208.0
3235	humidifier								1.0									3.0		37.0							1.0	6.0	5.0	4.0								7.0	3.0	2.0	2.0	13.0	3.0	3.0	3.0	18.0							111.0
3236	humilier				1.0		1.0		13.0	2.0	7.0	4.0	16.0		3.0		4.0	4.0	34.0	1724.0							3.0	30.0	52.0	110.0		9.0		1.0	1.0	8.0	4.0	64.0	49.0	113.0	32.0	200.0	24.0	697.0	167.0	1315.0				1.0		2.0	4695.0
3237	hurler		1.0			9.0	42.0	1.0	33.0	18.0	21.0	13.0	40.0	2.0	81.0	26.0	64.0	154.0	642.0	2858.0							6.0	145.0	256.0	850.0	1.0	15.0	3.0	6.0	6.0	21.0	10.0	250.0	96.0	191.0	460.0	1356.0	4.0	6.0	2.0	782.0				4.0			8475.0
3238	hybrider																			5.0																						16.0			1.0	4.0						1.0	27.0
3239	hydrater												1.0		1.0					184.0							1.0	45.0	27.0	30.0								22.0	6.0	14.0	5.0	32.0	13.0	70.0	20.0	105.0							576.0
3240	hydrogéner																																									11.0		2.0	2.0	1.0				3.0			19.0
3241	hydrolyser																																									1.0	1.0	2.0									4.0
3242	hypertrophier																												1.0													3.0	1.0	3.0	2.0	7.0							17.0
3243	hypnotiser								5.0	2.0	1.0	1.0	3.0			4.0		3.0	24.0	338.0								6.0	20.0	51.0		1.0				2.0	2.0	35.0	9.0	17.0	21.0	63.0	6.0	166.0	72.0	399.0							1251.0
3244	hypothéquer					1.0		1.0	3.0				2.0	1.0		1.0			3.0	157.0							2.0	3.0	3.0	9.0		2.0				1.0		7.0	2.0	8.0	3.0	15.0	6.0	37.0	12.0	156.0							435.0
3245	hâbler						1.0																																														1.0
3246	hâler																			1.0																						1.0				4.0							6.0
3247	hâter		1.0			1.0	12.0	1.0	4.0			3.0	4.0		4.0			4.0	5.0	253.0							80.0	163.0	77.0	6.0		3.0				3.0	10.0	33.0	12.0	3.0	22.0	246.0	1.0	6.0	2.0	28.0				1.0			988.0
3248	héberger					1.0	2.0	4.0	6.0	2.0		8.0	21.0	3.0	6.0	10.0	5.0	10.0	31.0	619.0							1.0	2.0	13.0	26.0		6.0	3.0	1.0	3.0	9.0	19.0	88.0	35.0	58.0	35.0	177.0	7.0	54.0	50.0	194.0							1509.0
3249	hébéter																			3.0																								7.0	2.0	14.0							26.0
3250	héler				33.0		6.0		1.0										3.0	48.0								4.0	1.0	2.0		1.0						8.0	1.0	1.0	7.0	10.0		1.0	1.0	40.0							168.0
3251	héliporter																			5.0								1.0	1.0													1.0	1.0	7.0	5.0	14.0							35.0
3252	hélitreuiller																			9.0																							1.0			1.0							11.0
3253	hérisser					1.0	1.0						1.0					1.0	6.0	28.0									2.0	2.0					3.0	1.0		1.0	2.0	3.0	21.0	49.0	1.0	6.0	17.0	17.0							163.0
3254	hériter		1.0			4.0	15.0	9.0	40.0	34.0	48.0	71.0	183.0	2.0	6.0	11.0		5.0	24.0	663.0						2.0	1.0	5.0	3.0	11.0		10.0	12.0	7.0	10.0	39.0	14.0	72.0	74.0	50.0	57.0	326.0	20.0	98.0	35.0	1715.0							3677.0
3255	hésiter		7.0			2.0	25.0	32.0	348.0	16.0	10.0	116.0	156.0	2.0	159.0	25.0	21.0	14.0	145.0	1249.0							18.0	1684.0	889.0	64.0	2.0	198.0	20.0	21.0	38.0	114.0	20.0	832.0	220.0	337.0	170.0	532.0		1.0	1.0	1115.0				3.0			8606.0
3256	identifier					1.0	12.0	12.0	15.0	16.0	6.0	30.0	104.0	2.0	17.0	18.0	6.0	17.0	53.0	6859.0							24.0	486.0	85.0	104.0		2.0	4.0	1.0	7.0	31.0	35.0	137.0	145.0	96.0	144.0	611.0	228.0	825.0	604.0	4818.0						4.0	15559.0
3257	idiotiser																																								2.0												2.0
3258	idolâtrer		2.0				1.0						1.0		21.0	2.0	6.0	7.0	44.0	46.0							1.0	2.0	3.0	7.0					1.0			13.0	6.0	8.0	31.0	68.0	1.0	12.0	6.0	30.0							319.0
3259	idéaliser					1.0	1.0								1.0	1.0			13.0	40.0								3.0	7.0	5.0							2.0	10.0	3.0	18.0	8.0	32.0	5.0	42.0	4.0	47.0							243.0
3260	idéologiser																																											1.0									1.0
3261	ignifuger																			1.0										1.0													4.0	1.0	3.0	15.0							25.0
3262	ignorer		36.0			4.0	24.0	14.0	52.0	14.0	22.0	34.0	87.0	215.0	7742.0	594.0	385.0	386.0	1662.0	5003.0					1.0	1.0	53.0	708.0	1124.0	475.0	2.0	34.0	21.0	26.0	18.0	34.0	1030.0	18475.0	2173.0	2032.0	1602.0	6006.0	100.0	381.0	176.0	1426.0			3.0	1.0		9.0	52185.0
3263	illimiter																																							1.0		2.0											3.0
3264	illuminer					2.0	14.0	2.0	3.0	1.0	8.0	11.0	60.0		5.0		3.0	15.0	74.0	292.0							2.0	22.0	40.0	25.0			1.0		3.0	17.0		36.0	13.0	48.0	105.0	375.0	11.0	65.0	26.0	190.0							1469.0
3265	illusionner																2.0			6.0							1.0		3.0									3.0	3.0	4.0	5.0	3.0	1.0		2.0	1.0							34.0
3266	illustrer						5.0	1.0	3.0			1.0	10.0		2.0	1.0		2.0	16.0	232.0							1.0		3.0	38.0					1.0	3.0		7.0	9.0	5.0	39.0	158.0	14.0	26.0	6.0	98.0							681.0
3267	imager				3.0				1.0										1.0	9.0									1.0	1.0								37.0		9.0		99.0	2.0	6.0	3.0	13.0				40.0			225.0
3268	imaginer		12.0			5.0	37.0	2.0	34.0	24.0	18.0	10.0	23.0	70.0	3225.0	213.0	270.0	72.0	475.0	12761.0							744.0	4550.0	5068.0	274.0	2.0	37.0	15.0	14.0	15.0	66.0	54.0	22436.0	2855.0	4615.0	441.0	2427.0	54.0	312.0	96.0	4073.0		2.0	10.0	12.0			65423.0
3269	imbiber						2.0		2.0	1.0			1.0		1.0	1.0			3.0	40.0								5.0	3.0	3.0						1.0	1.0	1.0		2.0	4.0	22.0	23.0	68.0	38.0	157.0							379.0
3270	imbriquer					1.0												2.0		8.0							1.0													1.0	19.0	20.0	5.0	4.0	19.0	9.0							89.0
3271	imiter		1.0				3.0	5.0	17.0	2.0	1.0	11.0	12.0	1.0	55.0	14.0	20.0	22.0	92.0	1271.0							21.0	56.0	211.0	253.0		9.0	1.0	1.0	1.0	6.0	6.0	156.0	43.0	124.0	131.0	600.0	9.0	27.0	12.0	265.0							3459.0
3272	immatriculer																			11.0								1.0													1.0	2.0	11.0	186.0	10.0	92.0							314.0
3273	immerger					2.0		2.0	2.0		2.0		3.0		1.0		1.0	2.0	2.0	110.0							2.0	13.0	13.0	10.0							6.0	4.0	3.0	10.0	4.0	12.0	10.0	60.0	36.0	128.0							438.0
3274	immigrer					1.0	3.0											1.0		33.0										10.0					1.0				1.0	4.0	2.0	5.0	3.0	9.0	13.0	108.0							194.0
3275	immiscer					1.0	1.0		8.0	1.0	1.0	3.0	8.0	1.0	1.0			2.0	6.0	569.0								6.0	13.0	13.0		4.0			1.0	2.0	1.0	36.0	16.0	23.0	24.0	122.0		23.0	6.0	61.0							953.0
3276	immobiliser						2.0		4.0	1.0		2.0	11.0					2.0	8.0	282.0								54.0	28.0	11.0					3.0	2.0	2.0	15.0	5.0	6.0	17.0	68.0	12.0	86.0	88.0	250.0		1.0					960.0
3277	immoler					1.0	1.0	2.0	1.0	7.0		1.0	2.0		1.0			1.0		93.0							1.0	3.0	4.0	3.0						2.0		9.0	6.0	2.0	8.0	22.0	2.0	23.0	6.0	58.0							259.0
3278	immortaliser					1.0	4.0		2.0	1.0		2.0	2.0					1.0		154.0							6.0	11.0	2.0	1.0						1.0	2.0	16.0		2.0	1.0	13.0	7.0	13.0	16.0	67.0							325.0
3279	immuniser										1.0	3.0	5.0						1.0	48.0								2.0	1.0	2.0						2.0				1.0	7.0	21.0	24.0	215.0	206.0	414.0							953.0
3280	impacter										1.0		10.0						2.0	26.0									7.0	9.0						4.0		3.0	1.0	13.0	4.0	52.0	1.0	4.0		17.0							154.0
3281	impartir																			1.0																							1.0	1.0		47.0							50.0
3282	impatienter		1.0			1.0	1.0				1.0				10.0	1.0	2.0	11.0	26.0	127.0								12.0	16.0					1.0			2.0	34.0	10.0	9.0	102.0	241.0		5.0	4.0	6.0							623.0
3283	imperméabiliser																1.0			7.0										1.0								1.0				1.0		2.0	1.0	9.0							23.0
3284	impersonnaliser																			1.0																																	1.0
3285	implanter					4.0	2.0	3.0	4.0		1.0	1.0	10.0		2.0	3.0		1.0	6.0	400.0							1.0	9.0	3.0	19.0	1.0		1.0		1.0	2.0	11.0	6.0	8.0	4.0	29.0	78.0	55.0	108.0	70.0	476.0						1.0	1320.0
3286	impliquer		1.0			3.0	4.0	5.0	44.0	6.0	5.0	7.0	71.0	3.0	20.0	19.0	9.0	41.0	317.0	2683.0							12.0	79.0	339.0	988.0	1.0	31.0	3.0	9.0	15.0	233.0	12.0	197.0	100.0	200.0	343.0	3137.0	484.0	2795.0	1978.0	7699.0							21893.0
3287	implorer	1.0	1.0		1.0	2.0	20.0	2.0	21.0	14.0	11.0	5.0	15.0		16.0	8.0	4.0	10.0	33.0	425.0							18.0	44.0	72.0	95.0		3.0		3.0	1.0	1.0	129.0	634.0	16.0	31.0	64.0	218.0	1.0	15.0	2.0	135.0				1.0			2072.0
3288	imploser											3.0	22.0						1.0	139.0									2.0						1.0	7.0		6.0	1.0	2.0	11.0	58.0	2.0	5.0		76.0	1.0						337.0
3289	implémenter					1.0														17.0								1.0		1.0							1.0	1.0			1.0	1.0		1.0		4.0							29.0
3290	importer						11.0	1.0	2.0			6.0	66.0		10.0	6.0	3.0	58.0	626.0	279.0								5.0	18073.0	99.0					3.0	50.0	22.0	1855.0	26.0	54.0	590.0	84026.0	42.0	53.0	48.0	190.0						4.0	106208.0
3291	importuner					1.0	1.0	2.0	30.0	1.0	1.0	1.0	19.0	2.0	5.0	1.0		2.0	16.0	527.0							7.0	29.0	16.0	2.0		2.0	1.0	1.0		3.0	4.0	47.0	48.0	19.0	16.0	100.0	6.0	45.0	21.0	79.0							1055.0
3292	imposer	1.0				6.0	46.0	13.0	37.0	6.0	3.0	13.0	58.0	3.0	20.0	4.0	6.0	30.0	150.0	2096.0						2.0	2.0	44.0	68.0	101.0		12.0	3.0	4.0	3.0	20.0	29.0	200.0	97.0	112.0	312.0	1205.0	107.0	214.0	69.0	609.0		1.0		1.0		1.0	5708.0
3293	impressionner						9.0	1.0	13.0	4.0	12.0	6.0	67.0		11.0	4.0	7.0	12.0	58.0	2965.0							2.0	51.0	94.0	244.0		4.0	2.0		2.0	36.0	2.0	253.0	162.0	234.0	107.0	524.0	43.0	1485.0	429.0	3183.0				1.0			10027.0
3294	imprimer		1.0				4.0	2.0	26.0	3.0	4.0	5.0	29.0	5.0	13.0	10.0	2.0	15.0	26.0	1133.0							9.0	95.0	140.0	29.0		3.0	2.0		4.0	9.0	17.0	111.0	29.0	62.0	82.0	266.0	124.0	179.0	193.0	888.0						1.0	3521.0
3295	improuver																																					1.0							1.0								2.0
3296	improviser					1.0	2.0	16.0	60.0	4.0	5.0		55.0	2.0	22.0	6.0	3.0	10.0	30.0	910.0							19.0	50.0	103.0	21.0		3.0		1.0		4.0	10.0	152.0	24.0	41.0	41.0	248.0	4.0	42.0	22.0	308.0							2219.0
3297	imprégner					1.0	2.0	3.0	6.0	1.0		2.0	4.0		4.0	5.0	1.0	2.0	16.0	199.0							1.0	28.0	28.0	12.0		1.0					1.0	21.0	3.0	12.0	26.0	110.0	25.0	86.0	60.0	198.0							858.0
3298	impulser																			6.0									8.0													3.0		1.0									18.0
3299	imputer								2.0	1.0		1.0	1.0					4.0	5.0	80.0		1.0					4.0	7.0	2.0	5.0		1.0						7.0	7.0	1.0	5.0	28.0	6.0	19.0	15.0	28.0							230.0
3300	inactiver																			1.0																					1.0	1.0		1.0	1.0	4.0							9.0
3301	inaugurer						4.0	2.0		1.0			19.0		1.0	2.0		1.0	7.0	216.0							6.0	1.0	2.0	7.0		1.0				1.0	19.0	29.0	5.0	2.0	11.0	90.0	1.0	25.0	4.0	89.0							546.0
3302	incanter						2.0						1.0							8.0										1.0								1.0		1.0		2.0				1.0							17.0
3303	incarcérer							1.0				1.0				1.0		1.0	2.0	119.0							1.0	10.0	1.0	2.0								1.0	1.0	1.0	1.0	12.0	9.0	77.0	84.0	433.0							758.0
3304	incarner					1.0	3.0		8.0	5.0		1.0	18.0		8.0	5.0	5.0	12.0	73.0	221.0							3.0	5.0	4.0	41.0	1.0	2.0				6.0	10.0	74.0	60.0	38.0	64.0	297.0	6.0	36.0	8.0	119.0							1134.0
3305	incendier					1.0	43.0		4.0		1.0	3.0	1.0		3.0			9.0	7.0	292.0							3.0	10.0	7.0	23.0				1.0				9.0	7.0	6.0	26.0	548.0	20.0	75.0	16.0	356.0				24.0			1495.0
3306	incinérer							2.0	6.0	1.0			4.0		1.0			3.0	1.0	320.0								15.0	6.0	5.0		1.0					3.0	3.0	5.0	4.0	11.0	43.0	19.0	183.0	102.0	425.0							1163.0
3307	inciser		1.0				2.0	2.0	2.0				2.0						2.0	148.0								22.0	11.0	7.0		1.0					2.0	24.0	9.0	6.0	4.0	21.0	6.0	15.0	2.0	41.0	1.0						331.0
3308	inciter					3.0	13.0		8.0	3.0	3.0	8.0	43.0		5.0	3.0		9.0	47.0	576.0							3.0	14.0	33.0	65.0		12.0			6.0	45.0	12.0	88.0	41.0	30.0	73.0	322.0	5.0	71.0	55.0	387.0							1983.0
3309	incliner		1.0			3.0	19.0	4.0	36.0	5.0	8.0	18.0	33.0	1.0	5.0	4.0	1.0	7.0	14.0	408.0							25.0	167.0	150.0	37.0		13.0			2.0	1.0	28.0	292.0	31.0	39.0	71.0	220.0	12.0	41.0	26.0	107.0						1.0	1830.0
3310	inclure				6.0	3.0	3.0	5.0	21.0		2.0	10.0	31.0		3.0	6.0	1.0	34.0	162.0	956.0							2.0	24.0	33.0	887.0		4.0	3.0		2.0	30.0	7.0	186.0	21.0	72.0	219.0	1180.0			316.0	721.0		20.0		51.0		226.0	5247.0
3311	incomber						1.0					3.0	14.0					3.0	21.0	7.0									5.0	6.0					1.0	5.0		24.0	1.0		27.0	283.0				2.0						1.0	404.0
3312	incommoder								2.0			1.0	3.0					1.0	8.0	34.0								3.0		1.0						4.0		11.0	6.0	3.0	8.0	36.0	3.0	9.0	6.0	32.0							171.0
3313	incorporer						2.0						4.0					1.0	4.0	105.0							2.0	8.0	4.0	14.0		1.0				3.0	4.0	5.0	5.0	4.0	8.0	34.0	9.0	40.0	37.0	159.0							453.0
3314	incriminer								1.0	1.0	1.0	3.0	7.0					4.0	11.0	393.0							1.0	2.0	3.0	129.0		1.0			4.0	13.0		7.0	6.0	3.0	26.0	81.0	4.0	19.0	15.0	54.0							789.0
3315	incruster								4.0		2.0		5.0		3.0	1.0		4.0	16.0	399.0								2.0	10.0	4.0		1.0		1.0				66.0	14.0	42.0	24.0	182.0	62.0	142.0	74.0	232.0							1290.0
3316	incrémenter																		1.0	4.0																							1.0										6.0
3317	incuber																		3.0	30.0									1.0							1.0				1.0	5.0	13.0	2.0		6.0	13.0							75.0
3318	inculper					1.0	2.0	10.0	36.0	4.0	1.0	11.0	45.0	2.0	3.0	8.0		1.0	3.0	1446.0							15.0	99.0	24.0	17.0		8.0	4.0	4.0	2.0	1.0	26.0	87.0	85.0	14.0	33.0	164.0	8.0	209.0	121.0	1059.0						1.0	3554.0
3319	inculquer					1.0	2.0	4.0	1.0		1.0	1.0	3.0		2.0			1.0	4.0	186.0							1.0	3.0		2.0						1.0	2.0	13.0	3.0	2.0	3.0	27.0	13.0	15.0	5.0	91.0							387.0
3320	incurver						2.0											1.0		5.0										1.0										1.0		2.0	1.0	9.0	1.0	18.0							41.0
3321	indaguer																			1.0																																	1.0
3322	indemniser								9.0	2.0			4.0			1.0				74.0								4.0	2.0	2.0						4.0	1.0	1.0	1.0	3.0	3.0	12.0	10.0	11.0	33.0	48.0							225.0
3323	indenter																			1.0																										1.0							2.0
3324	indexer														1.0					8.0							1.0			1.0								1.0	1.0	2.0		4.0	4.0	9.0	2.0	21.0							55.0
3325	indianiser																																													1.0							1.0
3326	indicer																												1.0											1.0	8.0	42.0				1.0				3.0			56.0
3327	indifférer																	2.0	9.0	2.0																		55.0		5.0	22.0	60.0				1.0		1.0					157.0
3328	indigner					1.0	3.0		1.0			1.0	1.0					2.0	5.0	30.0								1.0	3.0	3.0					2.0	2.0		9.0	7.0	3.0	21.0	56.0	4.0	42.0	31.0	82.0						35.0	345.0
3329	indiquer					6.0	12.0	9.0	80.0	19.0	14.0	41.0	196.0	2.0	10.0	21.0	5.0	106.0	347.0	1728.0						1.0	2.0	244.0	179.0	717.0		9.0	3.0	2.0	29.0	168.0	5.0	183.0	46.0	33.0	2200.0	4905.0	36.0	148.0	70.0	1316.0							12892.0
3330	indisposer												3.0						5.0	19.0																3.0					6.0		1.0	76.0	5.0	97.0							215.0
3331	individualiser											1.0								5.0																		1.0				3.0			1.0	1.0							12.0
3332	individuer																																							1.0		1.0											2.0
3333	induire											2.0	10.0	1.0	1.0	1.0			5.0	194.0								4.0	11.0	18.0		4.0			3.0	7.0	1.0	3.0	9.0		19.0	78.0	12.0	72.0	43.0	179.0						9.0	686.0
3334	indurer																																									1.0											1.0
3335	industrialiser																			6.0																				1.0	1.0	2.0	1.0	7.0	4.0	5.0							27.0
3336	infantiliser												1.0						2.0	15.0								3.0	2.0								1.0	4.0	3.0	9.0	7.0	9.0		4.0		4.0							64.0
3337	infatuer																			1.0																								1.0		3.0							5.0
3338	infecter					1.0	1.0			1.0	2.0	8.0	27.0		1.0	5.0		5.0	17.0	577.0							1.0	2.0	5.0	35.0			2.0		3.0	14.0		10.0	8.0	10.0	62.0	274.0	136.0	501.0	398.0	1464.0						1.0	3571.0
3339	infester											4.0						4.0	1.0	24.0										9.0					1.0	1.0			4.0		42.0	10.0	84.0	188.0	75.0	346.0							793.0
3340	infiltrer					7.0	6.0	9.0	14.0	11.0	1.0	7.0	20.0	3.0	20.0	12.0	1.0	21.0	30.0	1363.0							5.0	20.0	19.0	57.0					3.0	5.0	7.0	45.0	13.0	30.0	98.0	290.0	27.0	274.0	376.0	1720.0						1.0	4515.0
3341	infirmer						1.0						4.0			1.0				79.0								3.0	2.0	5.0								3.0		1.0	4.0	13.0	1.0	4.0	1.0	12.0							134.0
3342	infliger					2.0	9.0	6.0	28.0	9.0	3.0	5.0	16.0	2.0	5.0	3.0	1.0	13.0	35.0	826.0							2.0	21.0	47.0	45.0		12.0	3.0	4.0	2.0	19.0	5.0	43.0	37.0	96.0	64.0	181.0	202.0	216.0	87.0	423.0				1.0		1.0	2474.0
